date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:24	33392/33392	---MCZ	200	added ('OK')	text/html	etag:W/%228b8cf710dc4cd8d16006a7abeafb4397%22	https://picoctf.org/	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/index.html	(from )
15:18:25	2360/2360	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e7449bf394946c203f6992a7387f8a34%22	https://picoctf.org/robots.txt		(from )
15:18:26	15479/15479	---M--	200	added ('OK')	image/png	etag:%22221d0abf1583652e9c05f1be8c5cd7ee%22	https://picoctf.org/img/logos/picoctf-logo-og.png	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/img/logos/picoctf-logo-og.png	(from https://picoctf.org/)
15:18:27	13184/13184	---M--	200	added ('OK')	image/png	etag:%22491b45a289f3b8b4cae82411959fb751%22	https://picoctf.org/img/logos/picoctf-logo-social.png	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/img/logos/picoctf-logo-social.png	(from https://picoctf.org/)
15:18:28	165629/165629	---MCZ	200	added ('OK')	text/css	etag:W/%22afa62e620a493943bf610481b86a95e9%22	https://picoctf.org/css/main.css?1711550832	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/css/main409c.css	(from https://picoctf.org/)
15:18:29	56517/56517	---MCZ	200	added ('OK')	text/css	etag:W/%2241661137a86847913a9a84b5245cb379%22	https://picoctf.org/css/font-awesome.min.css?1711550832	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/css/font-awesome.min409c.css	(from https://picoctf.org/)
15:18:30	3135/3135	---M--	200	added ('OK')	image/png	etag:%228a43ae20379fd519c8b31c32f12c2f57%22	https://picoctf.org/apple-touch-icon.png	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/apple-touch-icon.png	(from https://picoctf.org/)
15:18:31	1326/1326	---M--	200	added ('OK')	image/png	etag:%22f55c6fad0eea60b9af867a22b618dec3%22	https://picoctf.org/favicon-32x32.png	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/favicon-32x32.png	(from https://picoctf.org/)
15:18:32	789/789	---M--	200	added ('OK')	image/png	etag:%2259c2ed873613ff175ddf1c1480122d99%22	https://picoctf.org/favicon-16x16.png	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/favicon-16x16.png	(from https://picoctf.org/)
15:18:33	417/417	---M--	200	added ('OK')	application/manifest+json	etag:%22095d182ee733887bc4a60297e0cd5fb2%22	https://picoctf.org/site.webmanifest	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/site.webmanifest	(from https://picoctf.org/)
15:18:34	4209/4209	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c26492ff3d9bd81103f45960948571aa%22	https://picoctf.org/safari-pinned-tab.svg	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/safari-pinned-tab.svg	(from https://picoctf.org/)
15:18:35	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://picoctf.org/js/jquery.min.js?1711550832	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/js/jquery.min409c.js	(from https://picoctf.org/)
15:18:36	81084/81084	---MCZ	200	added ('OK')	application/javascript	etag:W/%227fd2f04e75bd7ab1a79d80cdd4c33085%22	https://picoctf.org/js/bootstrap.bundle.min.js?1711550832	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/js/bootstrap.bundle.min409c.js	(from https://picoctf.org/)
15:18:37	241/241	---M--	200	added ('OK')	application/javascript	etag:%22857da6395708a5a534f93aa7bbc488b2%22	https://picoctf.org/js/autohide-navbar.js?1711550832	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/js/autohide-navbar409c.js	(from https://picoctf.org/)
15:18:38	3518/3518	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b0703c7fb732d60c26618f0695581051%22	https://picoctf.org/img/logos/picoctf-logo-horizontal-white.svg	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/img/logos/picoctf-logo-horizontal-white.svg	(from https://picoctf.org/)
15:18:39	75974/75974	---MCZ	200	added ('OK')	text/html	etag:W/%2233476f4a36a17611bae04776cc422568%22	https://picoctf.org/get_started.html	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/get_started.html	(from https://picoctf.org/)
15:18:40	19101/19101	---MCZ	200	added ('OK')	text/html	etag:W/%22870be1b08d67e2dfe96b0a6ad40374b6%22	https://picoctf.org/resources.html	C:/Users/g21m1907/OneDrive%20-%20Rhodes%20University/Documents/GitHub/picoCTF/picoCTF_SE/picoctf.org/resources.html	(from https://picoctf.org/)
