Rank,User/TeamName,Affiliation/Org,Score
1,"Sponsored By RBC","William Lyon Mackenzie C.I.",34201
2,"toor","LP2019",32701
3,"Red Enclave","Sisler High School",30801
4,"VE FORBRYDERNE","The Woodlands School",28751
5,"sketchycarrot's team","Pierre Elliott Trudeau High School",28151
6,"Happy in April","The Woodlands Secondary School",27951
7,"DullPointerException","Richmond Hill High School",26951
8,"Saints","Saint Malachy's Memorial High School",26601
9,"tropicana","William Lyon Mackenzie Collegiate Institute",25401
10,"Joshua Daniel","Heart Lake Secondary School",23701
11,"TechKids","Stephen Lewis Secondary School ",23651
12,"Raizuses","Mrs Luong MMM",23551
13,"The Mellow Yellows","Marc Garneau Collegiate Institute",22801
14,"ParrotsWin","The Woodlands School",22650
15,"bagofbeans","SATEC @ W.A. Porter",22251
16,"The Blob Gang","West Humber CI CanHack",22101
17,"Lucifer","Stephen Lewis Secondary School",21701
18,"Theodorians","CanHack2019",21601
19,"Supermac30","St. Marcellinus",20900
20,"mandem","Bayview SS",20201
21,"MIT1","CanHack2019",20001
22,"heccing hackers","MACSCANHACK",18801
23,"The Battle Of Waterloo","WC Hacks",17751
24,"JoshuaL","William Lyon Mackenzie C.I",17200
25,"Cypher 7","Satec",17151
26,"OvUwUvO","CanHack2019",16801
27,"blobheart","Appleby College",16401
28,"Dream Team","Richmond Hill High School",16251
29,"twang gang","Westmount Collegiate Institute",16101
30,"this is beyond stonks","CanHack2019",15651
31,"Avaricious Pseudo Programmers","St Peters CSS",15501
32,"The Moths","John G. Diefenbaker High School",15500
33,"Despacito","Jean Vanier CSS",14900
34,"ether","CanHack2019",14801
35,"BBKatas","Code Club",14651
36,"HackTheTree","Old Scona Academic High Schol",14401
37,"DECA","Richmond Hill High School, Richmond Hill, Ontario",14201
38,"Byte Me","Heart Lake Secondary School",14050
39,"Insert Team Name Here","Sir Winston Churchill High School (Calgary, AB)",13901
40,"Somethings Stupid","BevFacey",13901
41,"Transfer To TOPS","CanHack2019",13101
42,"Markville Robotics","CanHack2019",12901
43,"getName()","Craig Kielburger Secondary School",12900
44,"Boolean Prohibited","AY Jackson Secondary School",12751
45,"Double H Trouble","CanHack2019",12701
46,"StardustCrusaders","CanHack2019",12350
47,"UTS CS","UTS-1",12301
48,"The Kitchen","Keswick High School",12251
49,"Read the Riot Hacked","GCICyberKnight",12201
50,"Fishiemen","ICS",12151
51,"not about to win gang","Humberview CanHack 2019",12150
52,"GAMERSRISEUP","Leaside",12100
53,"Glate","A. Y. Jackson S. S.",12051
54,"Maple Syrup Hackers","Oakville Trafalgar High School",11800
55,"notWeebNation","Upper Canada college",11700
56,"Ultimate Canadian Cyber Hackers","Woodbridge College, Woodbridge, ON",11401
57,"Me and the Bois Using Computer for the First Time","AY Jackson SS",11400
58,"Band Gang","Markham District High School, Markham, Ontario",11251
59,"Geek Squid","Upper Canada College",11201
60,"Pesky Icebergs V2","Clarkson Secondary School, Mississauga, ON",11150
61,"Morioh Warriors","WC Hacks",10951
62,"Horn i7","Bill Hogarth Secondary School",10951
63,"XeFyr","Bill Hogarth Secondary School",10751
64,"CantHack","NSS1",10700
65,"DinkySquad","CanHack2019",10650
66,"SERN","John Fraser SS, Mississauga, ON",10551
67,"Large Lads","ATC CyberSaints",10450
68,"Larry Has Sexy Elbows","William Lyon Mackenzie C.I.",10401
69,"Lake Porcupines","Clarkson Secondary",10351
70,"Spectre","Woburn CI",10350
71,"Can'tHack","Runnymede C.I",10050
72,"Invalid team name","GCICyberKnight",9751
73,"Kings-Guard","CWDHS2019CanHacks",9751
74,"GFESS","GFESS",9650
75,"Broken","Stephen Lewis Secondary School",9600
76,"HackOS","HTS CanHack Teams",9301
77,"ostrich","Woburn CI",9251
78,"MarcelloIanniFanClub","CanHack2019",9201
79,"Lisgar5050","Lisgar",9151
80,"KachowMoment","Toronto French School",9151
81,"OSA Maroon Team 2019","Old Scona Academic",9150
82,"ThiccoMode","Runnymede collegiate",9050
83,"boku no","Erindale Secondary School",9000
84,"TLAPers","Richmond Hill High School",9000
85,"Cup O' Java","Runnymede Collegiate Institute",8951
86,"Unemployed Bean Gang","Clarkson Public School",8901
87,"KantHak","NTCS4U",8851
88,"-UwU-","Runnymede Colleigiate Institute",8801
89,"Egg Inc","CanHack2019",8800
90,"wInNeRs","Honeypot",8600
91,"sansundertale2","William Lyon Mackenzie C.I",8550
92,"Clutch","West Humber CI CanHack",8500
93,"TaraEmami.student1","LP2019",8450
94,"youdonotrecognise","ICS4U Fall 2019",8450
95,"dannyboykim123","John Polanyi",8401
96,"BowlHaircut","Old Scona Academic",8400
97,"hwed","Leaside",8400
98,"MRV","Sisler High School",8101
99,"The Yeeters","Coding Club",7950
100,"MCITeam1","MCITeam1",7950
101,"CodeMonkeys","CanHack2019",7900
102,"Not Applicable","The Woodlands Secondary School",7851
103,"bears","Programming Club",7800
104,"IBIBAPIB","Victoria Park CI",7751
105,"n3rd5","William Lyon Mackenzie CI",7751
106,"hmarty123","Hackmarty",7700
107,"The,Elder,Scrolls,Skyrim,PicoCTF,edition","SPSS2019",7651
108,"Asdfghjkl","RHHS",7601
109,"Stressed by a Mountain of Books","Sisler High School",7551
110,"Tammy","HTS CanHack Teams",7501
111,"JoeMamas","Clarkson Secondary School",7500
112,"BAWB","NTCS4U",7351
113,"Team Team Team","WOSS2019",7300
114,"notEnfei","William lyon Mackenzie,Ontario ",7251
115,"Ivy","Old Scona Academic",7201
116,"Dame dollas","St Peter's Catholic Secondary School",7200
117,"Incogn!to","Sisler, Winnipeg, MB",7001
118,"TheLimbsOfExodia","CWDHS2019CanHacks",7001
119,"picoName","NSS7",6950
120,"The Nurds","Centennial Sr Ps",6850
121,"JohnMabanta51","Mrs Luong MMM",6800
122,"The Gucci Group","WC Hacks",6751
123,"Meko262","Clarskon Secondary School",6750
124,"bunnyluvzkrispylinguine","Clarkson",6600
125,"Glebe","Glebe ",6550
126,"ItzZed","Mother Margret Mary",6451
127,"ACI Team 12","Agincourt CI",6450
128,"Bill Clinternet","St. Andrew's College",6450
129,"theonlypleblord","Leaside",6450
130,"Excelsior","GCICyberKnight",6450
131,"Ctrl Alt Elite","Mustang1",6450
132,"brianbc","Upper Canada College",6450
133,"pulsar","North Toronto CI",6400
134,"JAHKT","Bill Hogarth Secondary School",6351
135,"spaghetti and meatballs","Woburn CI",6350
136,"PlantGang","SPSS2019",6301
137,"Team 1","Clarkson Secondary School",6200
138,"gotClass","NSS2",6200
139,"RNGesus","Bill Hogarth Secondary School",6151
140,"aregeny","Cy-bear Security",6050
141,"Mad Rats","Oakville Trafalgar High School",6050
142,"RECCompSciGang","Period5",5850
143,"BotsUnited","J. Percy Page High School",5850
144,"COMAN","Sisler High School",5751
145,"Binary Bombers","Woburn CI",5750
146,"zogang","Upper Canada College",5700
147,"pythonwriter","Point Grey Secondary",5651
148,"CheezWhiz","St Robert Catholic High School, Markham, ON",5650
149,"MCIGroup4","MCITeam4",5650
150,"LizardSquad","ICS4U Fall 2019",5600
151,"Not A Wooden Horse","Clarkson SS",5550
152,"BEST VALUE!","BevFacey",5550
153,"BLACK AF1s","Sisler High School",5500
154,"ChessClub","ICS3U",5451
155,"GOOB OF GOOBERS","Richmond Hill High School",5450
156,"WolfHacks11","Chinguacousy S.S.",5450
157,"Vanier Warriors","Georges Vanier Secondary School",5401
158,"videogamedunkey","lol",5351
159,"Phun with a PH","John Polanyi Collegiate Institute ",5350
160,"Krammies","Coding Club",5300
161,"HEE-HAW","GCICyberKnight",5250
162,"FiveLittleFunks","NHSLilFunks",5200
163,"The Panther Parentheses","J. Percy Page, Edmonton AB",5200
164,"CodeApes","Old Scona Academic",5151
165,"ESingh","ICS3U Fall 2019",5150
166,"tmahmood","ICS3U Fall 2019",5150
167,"vending-machine-hackers","Jean Vanier Catholic Secondary School",5100
168,"Code Crane","LCS-GIRLS",5050
169,"DEFCON","Woburn CI",5050
170,"What-The-Hack?","HTS CanHack Teams",5001
171,"Foxes","Foxy School",5000
172,"kool aid gang","SIsler High School",4950
173,"Team COMAN is better","EspoSislerCyber",4950
174,"school19","ICS4U Fall 2019",4900
175,"WeShowedUp","SPSS2019",4900
176,"Land Sharks","Sisler High School",4851
177,"absorption sketch","WOSS2019",4850
178,"Giants","j percy page",4751
179,"AngryVeganSociety5","SPSS2019",4751
180,"FruitSalad","Woodbridge College, Vaughan, ON",4701
181,"Captcha is Invalid","ICS20 - Fall 2019",4701
182,"UTS degens","UTS-1",4700
183,"NINE-NINE!","LCS-GIRLS",4650
184,"m13k0","The Linden School",4600
185,"h4cK0hOlicZ","HTS CanHack Teams",4600
186,"TeamUnderflowin","Leaside",4550
187,"RoyalAces","JPCI",4500
188,"U++","CanHack2019",4500
189,"The Other Nurds","Centennial",4500
190,"soapjia","Coding Club",4450
191,"MSITeam3","MSITeam3",4400
192,"Bogey Blasters","ICS4U Fall 2019",4400
193,"MSNGA","Sisler High School",4351
194,"Richard your sick wit it","Mowat",4351
195,"MCITeam2","MCITeam2",4350
196,"DoorBellMan","Upper Canada College",4301
197,"Back-Door","SHSMJun1",4300
198,"mrcharrison.student8","ICS20 - Fall 2019",4251
199,"The Incompetent Internet Nerds ","Heart Lake Secondary School",4250
200,"Rao Hackers","Coding Club",4250
201,"camelCaseInCamelCase","Bev Facey, Alberta",4201
202,"WeWillThinkAboutThatLater","Surrey Academy of Innovative Learning",4201
203,"HackersForHope","Mayfield 2019",4200
204,"yeow","Sisler High School",4151
205,"Mystr0","BevFacey",4051
206,"georgopoulos2","BevFacey",4051
207,"3billion","Richmond Hill High School",4050
208,"Nish","clarkson SS",4050
209,"THEFOURCOLONIES","ATC CyberSaints",4000
210,"JOJO1","Clarkson other",4000
211,"SkiddleDoo","Clarkson Secondary School",4000
212,"The Ladz","CWDHS2019CanHacks",4000
213,"Monstrous Mangos","ICS20 - Fall 2019",3951
214,"WILD AFGHANS","Woburn CI",3950
215,"MP656303","Stephen Lewis SS, Mississauga, ON",3900
216,"Nori","SAC CompEng",3900
217,"CanadianPutin","Clarkson Secondary School",3900
218,"Pots and Pans","Honeypot",3850
219,"The Bots","Woburn CI",3850
220,"SAC F4","SAC CompEng",3800
221,"Can't Hack","Bill Hogarth Secondary School",3750
222,"Quad Colts","CanHack Challenge - Bill Crothers Secondary School",3750
223,"CtrlCCtrlV","SHSM2019Sen1",3750
224,"wecanthack","Leaside",3700
225,"jGRASP Gods","Chinguacousy Secondary School",3650
226,"FaZe","Woburn CI",3650
227,"cam","ICS3U Fall 2019",3650
228,"Sirens Call","Sisler High School",3601
229,"anticipation ","ICS3U Fall 2019",3601
230,"NotGoodAtCS","Dr. Norman Bethune C.I",3600
231,"FullSend","sisler high school",3550
232,"Fireplays","Clarkson Secondary School",3500
233,"p3rf3ct","Woodbridge College",3451
234,"Bigboy","Tommy Douglas SS",3450
235,"MrsEmami","LP2019",3450
236,"007","Virtual High School",3400
237,"Sauron","The Woodlands SS, Mississauga, ON",3400
238,"wxyz","Old Scona Academic, Edmonton, AB",3351
239,"decipher dogs","Woburn CI",3350
240,"Get Off My Lawn","West Humber CI CanHack",3350
241,"TheRealDraculax","RH King Acadamy",3350
242,"iFly350x","Keystone Computers",3300
243,"LateNightShoppas","Mrs Luong MMM",3300
244,"WolfDeqth","Bill Hogarth Secondary School",3251
245,"demhackerzboi","Bell High School",3250
246,"AnteuMeg","ARS Lions",3250
247,"HEE-HAW ","GCICyberKnight",3250
248,"MelonHeadGang","BevFacey",3250
249,"null69","CanHack2019",3100
250,"CottonEyedJoes","ICS20 - Fall 2019",3051
251,"Julian's Team","Listowel district secondary school",3050
252,"Donald Obama","Clarkson",3050
253,"IDKIDKIDK","John Polanyi Collegiate institiute",3050
254,"kocampo","ICS3U Fall 2019",3050
255,"perrion","John Polanyi Collegiate Institute,Toronto,Ca",3050
256,"bruhnaenae","Oakville Trafalgar High School",3000
257,"Boolean Autocrats","Bill Hogarth Secondary School",3000
258,"Three Legged Squirrel","Clarkson Secondary School",3000
259,"CanHack winners","Lisgar",2950
260,"Cold Bean Salad? Resurrection MMXIX","Clarkson SS",2950
261,"btait.student6","Cedarbrae CanHack 2019",2950
262,"Error405","Malvern CI",2901
263,"Omega Ordinates","NSS5",2900
264,"CE9030","Honeypot",2900
265,"Elite 6 divided by 2","Runnymede Collegiate Institute",2850
266,"shrek","Clarkson SS",2850
267,"Something Else","GCICyberKnight",2850
268,"btait.student9","Cedarbrae CanHack 2019",2850
269,"YeetYeetYeet","Aquinas 305",2750
270,"MA952","IHS Cyber",2750
271,"LSKCJ","ICS4U",2750
272,"asdf1234","ICS3U Fall 2019",2750
273,"mrcharrison.student3","ICS20 - Fall 2019",2701
274,"Mystery Gang","Keswick High School",2651
275,"PK Fire","NSS4",2650
276,"MiniVanMan","Sisler High School",2650
277,"Mayfield Minecrafters","Mayfield 2019",2650
278,"Midnight Hackers","GCICyberKnight",2650
279,"Robotixk5757","john polanyi collegiate institute",2650
280,"MinecraftSteve","Honeypot",2600
281,"mrcharrison.student19","ICS20 - Fall 2019",2600
282,"anticipation","ICS3U Fall 2019",2551
283,"SpaceBar","West Humber CI, Etobicoke, ON",2550
284,"sponsoredbyurmom","Appleby College",2550
285,"sdavies22","CS 10",2550
286,"Borjaaa07","Sisler ",2550
287,"Goal Diggers","LCS-GIRLS",2500
288,"LEGENDARY","North Park, Brampton ON",2500
289,"papaman","Sisler High School, Winnipeg MB",2500
290,"Zoreph","Sisler High School",2500
291,"Vikings Hack","North Park Secondary School",2500
292,"Mango Sprite","W. A. Porter Collegiate Institute",2500
293,"name","GCICyberKnight",2450
294,"Hugh Janus","Sisler High School",2450
295,"Cyber Ghost","GCICyberKnight",2401
296,"Byte the Cookie","Mustang1",2400
297,"ThePowerOfJoe","SAC CompEng",2400
298,"Rache","Mayfield secondary school",2400
299,"hairline","John Polanyi ",2350
300,"MrJessa","Coding Club",2350
301,"howldani","SPSS2019",2350
302,"Hello World","Chinguacousy Secondary School",2350
303,"The Rhinos","Old Scona Academic, Edmonton, Alberta",2350
304,"LiTe","Jean Vanier Catholic Secondary School",2350
305,"Kappa","Malvern",2300
306,"3SidedTrianglepico","J.P.C.I",2300
307,"Team Hortons","Sisler High School",2300
308,"ZDR28","Sisler High School",2300
309,"CCVI1","CCVI Teams",2300
310,"The Grubby Monkeys","Glebe ",2250
311,"epicteam","NSS3",2250
312,"ChristianP","Sisler High School",2250
313,"OSAHSR","OSA",2250
314,"The Revengers 3 point 0","Coding Club",2200
315,"FareesSiddiquiTeam","Leaside",2200
316,"YoUpIeCeOfBrEaD","CS 10",2200
317,"icanthack","CanHack2019",2200
318,"SLum","Chinguacousy SS",2150
319,"Mozart and Sons","CanHack Challenge - Bill Crothers Secondary School",2150
320,"harmanxsaini","Sisler High School",2150
321,"Phoenix","Bill Hogarth Secondary School",2150
322,"AWittyName","Coding Club",2100
